Classifier	Classifier param 	Feature 	Age Group 	Avg. Correct 	Avg. Accuracy 	BTRG
<class 'core.classifier.ScikitNaiveBayesClassifier'>	[]	<class 'core.featureconverter.FaceBoundaryFeatureConverter'>	(12, 23, 100)	114.0	0.682634730539	2.04790419162
<class 'core.classifier.ScikitNaiveBayesClassifier'>	[]	<class 'core.featureconverter.FaceBoundaryFeatureConverter'>	(7, 15, 22, 100)	68.0	0.407185628743	1.62874251497
<class 'core.classifier.ScikitNaiveBayesClassifier'>	[]	<class 'core.featureconverter.FaceBoundaryFeatureConverter'>	(5, 12, 18, 100)	25.0	0.149700598802	0.59880239521
<class 'core.classifier.ScikitNaiveBayesClassifier'>	[]	<class 'core.featureconverter.FaceBoundaryFeatureConverter'>	(5, 10, 15, 20, 25, 100)	15.0	0.0898203592814	0.538922155689
<class 'core.classifier.ScikitNaiveBayesClassifier'>	[]	<class 'core.featureconverter.FaceLandmarkBoundaryFeatureConverter'>	(12, 23, 100)	114.0	0.682634730539	2.04790419162
<class 'core.classifier.ScikitNaiveBayesClassifier'>	[]	<class 'core.featureconverter.FaceLandmarkBoundaryFeatureConverter'>	(7, 15, 22, 100)	68.0	0.407185628743	1.62874251497
<class 'core.classifier.ScikitNaiveBayesClassifier'>	[]	<class 'core.featureconverter.FaceLandmarkBoundaryFeatureConverter'>	(5, 12, 18, 100)	25.0	0.149700598802	0.59880239521
<class 'core.classifier.ScikitNaiveBayesClassifier'>	[]	<class 'core.featureconverter.FaceLandmarkBoundaryFeatureConverter'>	(5, 10, 15, 20, 25, 100)	16.0	0.0958083832335	0.574850299401
<class 'core.classifier.NearestNeighborsClassifier'>	[5]	<class 'core.featureconverter.FaceLandmarkFeatureConverter'>	(12, 23, 100)	107.0	0.640718562874	1.92215568862
<class 'core.classifier.NearestNeighborsClassifier'>	[5]	<class 'core.featureconverter.FaceLandmarkFeatureConverter'>	(7, 15, 22, 100)	74.0	0.443113772455	1.77245508982
<class 'core.classifier.NearestNeighborsClassifier'>	[5]	<class 'core.featureconverter.FaceLandmarkFeatureConverter'>	(5, 12, 18, 100)	69.0	0.413173652695	1.65269461078
<class 'core.classifier.NearestNeighborsClassifier'>	[5]	<class 'core.featureconverter.FaceLandmarkFeatureConverter'>	(5, 10, 15, 20, 25, 100)	55.0	0.329341317365	1.97604790419
